Reward,Target,Level,Status,Qty
"$250,000",kubiii,Level: 41,Traveling,Qty: 1
"$250,000",Bluetazerman,Level: 38,Traveling,Qty: 1
"$250,000",mishweg,Level: 34,Hospital,Qty: 1
"$250,000",belkka,Level: 30,Hospital,Qty: 53
"$250,000",Jayden_jay,Level: 21,Hospital,Qty: 1
"$250,000",MrChunk,Level: 16,Traveling,Qty: 1
"$250,000",Saharik,Level: 15,Traveling,Qty: 2
"$250,000",The7KindDemons,Level: 4,Hospital,Qty: 2
"$250,000",Anton,Level: 100,Okay,Qty: 3
"$250,000",DriftKing,Level: 100,Hospital,Qty: 1
"$250,000",Zapi,Level: 100,Okay,Qty: 8
"$250,000",newer,Level: 100,Okay,Qty: 4
"$250,000",lod,Level: 99,Okay,Qty: 7
"$250,000",BLADE23,Level: 35,Hospital,Qty: 1
"$250,000",Frosty22_,Level: 31,Traveling,Qty: 2
"$250,000",xKOTHx,Level: 30,Hospital,Qty: 1
"$250,000",Malachi12345,Level: 29,Hospital,Qty: 1
"$250,000",Lilybaby,Level: 19,Traveling,Qty: 1
"$250,000",Tenma,Level: 16,Traveling,Qty: 216
"$250,000",KNUCKLZ,Level: 15,Hospital,Qty: 1
"$250,000",Xilva,Level: 8,Okay,Qty: 13
"$245,000",NotHadow,Level: 65,Traveling,Qty: 1
"$225,000",MonkeyBrains,Level: 99,Okay,Qty: 1
"$225,000",zust792,Level: 92,Okay,Qty: 26
"$225,000",tootpi_jo,Level: 43,Traveling,Qty: 8
"$210,000",Cipeng,Level: 70,Hospital,Qty: 1
"$210,000",Danjl,Level: 62,Hospital,Qty: 1
"$210,000",Kainaan87,Level: 53,Hospital,Qty: 1
"$210,000",Thepartisan,Level: 50,Hospital,Qty: 2
"$210,000",DurianG,Level: 37,Hospital,Qty: 1
"$209,132",Hydraxx,Level: 48,Hospital,Qty: 1
"$204,359",Tamirys,Level: 56,Hospital,Qty: 2
"$203,000",Dsla,Level: 15,Okay,Qty: 5
"$202,020",Socratrees,Level: 33,Hospital,Qty: 41
"$202,020",AshenCrises,Level: 23,Hospital,Qty: 15
"$201,000",Mieczyslav,Level: 51,Traveling,Qty: 1
"$201,000",Jachim_,Level: 25,Traveling,Qty: 1
"$201,000",edmundzilla,Level: 19,Traveling,Qty: 2
"$201,000",warpedtourer,Level: 16,Traveling,Qty: 1
"$200,000",Sheikh_Nutti,Level: 69,Hospital,Qty: 82
"$200,000",Volsungo,Level: 60,Traveling,Qty: 1
"$200,000",InexactLime,Level: 57,Hospital,Qty: 1
"$200,000",Zexx123,Level: 30,Abroad,Qty: 2
"$200,000",Beasty99,Level: 25,Abroad,Qty: 1
"$200,000",BaldVic,Level: 22,Hospital,Qty: 1
"$200,000",Bonkerd,Level: 21,Traveling,Qty: 2
"$200,000",Cpt_Harlock01,Level: 20,Hospital,Qty: 1
"$200,000",QueenOfTorture,Level: 3,Hospital,Qty: 1
"$200,000",Infernial,Level: 100,Okay,Qty: 15
"$200,000",_SB_,Level: 100,Okay,Qty: 1
"$200,000",kryptonray,Level: 97,Okay,Qty: 9
"$200,000",Dokotela,Level: 90,Okay,Qty: 4
"$200,000",Ninivah,Level: 75,Okay,Qty: 20
"$200,000",FknBridges,Level: 50,Abroad,Qty: 1
"$200,000",KillerCleat,Level: 50,Okay,Qty: 1
"$200,000",Mcloving,Level: 50,Hospital,Qty: 6
"$200,000",UchihaConor,Level: 50,Traveling,Qty: 1
"$200,000",Dragaer,Level: 38,Traveling,Qty: 1
"$200,000",CampbellOnTop,Level: 35,Hospital,Qty: 9
"$200,000",ZeShu,Level: 35,Hospital,Qty: 1
"$200,000",Pekal,Level: 31,Hospital,Qty: 2
"$200,000",Tamaparauri,Level: 31,Hospital,Qty: 1
"$200,000",Valnat,Level: 27,Hospital,Qty: 6
"$200,000",bryanJaycubson,Level: 25,Hospital,Qty: 2
"$200,000",MassiveMiike,Level: 24,Hospital,Qty: 25
"$200,000",BtrPecanRican,Level: 15,Okay,Qty: 3
"$200,000",KingBaba_Josh,Level: 15,Hospital,Qty: 6
"$200,000",Voidop,Level: 15,Traveling,Qty: 1
"$200,000",BennyEggs,Level: 100,Okay,Qty: 8
"$200,000",Poleslider,Level: 100,Abroad,Qty: 2
"$200,000",Stente,Level: 88,Okay,Qty: 1
"$200,000",AfterEight,Level: 16,Hospital,Qty: 48
"$181,000",HedonismBot,Level: 74,Hospital,Qty: 13
"$180,000",TobyFlenderson,Level: 69,Hospital,Qty: 2
"$180,000",gimbot,Level: 45,Traveling,Qty: 1
"$171,000",Buzzkill,Level: 66,Okay,Qty: 1
"$169,169",TheStonedReaper,Level: 25,Hospital,Qty: 8
"$152,000",Lordevo,Level: 15,Okay,Qty: 5
"$151,000",Rewindz,Level: 37,Abroad,Qty: 7
"$151,000",Twitch_Master,Level: 28,Hospital,Qty: 1
"$150,000",AquilaAmica,Level: 76,Traveling,Qty: 2
"$150,000",Kai,Level: 43,Hospital,Qty: 1
"$150,000",Simba,Level: 38,Traveling,Qty: 1
"$150,000",bostik001,Level: 30,Hospital,Qty: 8
"$150,000",FergalOReilly,Level: 26,Hospital,Qty: 1
"$150,000",Gangsteriffic,Level: 22,Traveling,Qty: 1
"$150,000",LawBringa,Level: 18,Hospital,Qty: 1
"$150,000",Maraval,Level: 16,Hospital,Qty: 1
"$150,000",Bogan,Level: 100,Okay,Qty: 10
"$150,000",Offertory,Level: 100,Okay,Qty: 42
"$150,000",92Dragon,Level: 95,Okay,Qty: 2
"$150,000",Artarist,Level: 92,Hospital,Qty: 16
"$150,000",DonPedroSelecta,Level: 84,Traveling,Qty: 1
"$150,000",MeowMeow448,Level: 69,Hospital,Qty: 1
"$150,000",Hulk00,Level: 55,Abroad,Qty: 1
"$150,000",Disco_stu619,Level: 50,Traveling,Qty: 1
"$150,000",fishfinger,Level: 50,Hospital,Qty: 26
"$150,000",0WL,Level: 47,Traveling,Qty: 1
"$150,000",Flamehusky,Level: 45,Traveling,Qty: 2
"$150,000",DurkBurkins,Level: 42,Traveling,Qty: 4
"$150,000",CharlesWilibee,Level: 40,Okay,Qty: 1
"$150,000",RuthlessHunter,Level: 40,Hospital,Qty: 1
"$150,000",Rether,Level: 37,Abroad,Qty: 4
"$150,000",Jackrattler,Level: 28,Traveling,Qty: 1
"$150,000",Constantine87,Level: 27,Hospital,Qty: 99
"$150,000",Perel,Level: 22,Hospital,Qty: 2
"$150,000",NastyMofo,Level: 17,Traveling,Qty: 1
"$150,000",B00german,Level: 9,Hospital,Qty: 1
"$150,000",DwightSchrute,Level: 100,Okay,Qty: 9
"$150,000",herself,Level: 100,Okay,Qty: 1
"$150,000",Phantom11c,Level: 26,Traveling,Qty: 22
"$148,888",Unlucky,Level: 100,Okay,Qty: 9
"$136,000",Blasphemous,Level: 40,Hospital,Qty: 1
"$130,000",Ygaria_Varr,Level: 55,Hospital,Qty: 56
"$130,000",johnnytwatface,Level: 13,Hospital,Qty: 3
"$125,000",Edwards,Level: 79,Okay,Qty: 4
"$124,000",Heptic,Level: 60,Hospital,Qty: 2
"$123,459",drbows,Level: 38,Hospital,Qty: 1
"$123,456",Atari,Level: 100,Okay,Qty: 1
"$123,456",MyCow,Level: 56,Okay,Qty: 46
"$120,000",Ahmd_Farghly-85,Level: 50,Hospital,Qty: 1
"$120,000",zackse,Level: 22,Okay,Qty: 1
"$113,333",Liamj,Level: 28,Okay,Qty: 19
"$111,111",BabyGurl23,Level: 43,Traveling,Qty: 1
"$111,111",Horoshowman,Level: 31,Okay,Qty: 4
"$111,111",AirQuotes,Level: 21,Okay,Qty: 8
"$111,111",Jakuma55555,Level: 15,Hospital,Qty: 3
"$111,000",Ulung_PL,Level: 17,Okay,Qty: 4
"$111,000",Ulung_PL,Level: 17,Okay,Qty: 4
"$110,000",THORGRIMSOUL,Level: 51,Traveling,Qty: 3
"$110,000",PastorJason,Level: 30,Hospital,Qty: 3
"$110,000",mbro13,Level: 26,Hospital,Qty: 3
"$110,000",VVoozy,Level: 15,Okay,Qty: 5
"$105,000",Canixe,Level: 21,Hospital,Qty: 125
"$101,900",Gym,Level: 15,Okay,Qty: 8
"$101,500",Mrwhite0001,Level: 16,Traveling,Qty: 6
"$101,010",ItzSabik,Level: 19,Traveling,Qty: 5
"$101,010",Edward_Conan,Level: 16,Okay,Qty: 13
"$101,010",Alyndor,Level: 13,Okay,Qty: 39
"$101,000",kittywarrior,Level: 100,Okay,Qty: 12
"$101,000",Svantesvoken,Level: 79,Okay,Qty: 2
"$101,000",Mikes,Level: 75,Okay,Qty: 1
"$101,000",LastRightz,Level: 47,Hospital,Qty: 13
"$100,009",AhmedJahanzaib,Level: 15,Traveling,Qty: 22
"$100,001",Brayleigh,Level: 57,Hospital,Qty: 4
"$100,001",NoFace,Level: 40,Traveling,Qty: 4
"$100,001",Akinwandefatiu1,Level: 31,Hospital,Qty: 3
"$100,001",Wade7,Level: 21,Traveling,Qty: 1
"$100,001",Zenya,Level: 100,Okay,Qty: 3
"$100,001",hoentoe,Level: 51,Traveling,Qty: 1
"$100,001",P0STM4N,Level: 37,Traveling,Qty: 35
"$100,001",Tunah,Level: 25,Traveling,Qty: 20
"$100,001",Hydratedbones,Level: 12,Hospital,Qty: 9
"$100,000",Foldy,Level: 67,Okay,Qty: 1
"$100,000",DDeuce,Level: 66,Okay,Qty: 1
"$100,000",PSYCHOAARDVARK,Level: 58,Okay,Qty: 1
"$100,000",VanishingPoiint,Level: 52,Okay,Qty: 1
"$100,000",Belea,Level: 34,Hospital,Qty: 42
"$100,000",Manjut,Level: 32,Hospital,Qty: 1
"$100,000",MrCB,Level: 31,Okay,Qty: 1
"$100,000",MysteriousVybz,Level: 30,Okay,Qty: 1
"$100,000",IBeatMySon,Level: 22,Hospital,Qty: 15
"$100,000",dirt010,Level: 22,Hospital,Qty: 9
"$100,000",PollyB75,Level: 19,Traveling,Qty: 5
"$100,000",LickMyClip,Level: 17,Traveling,Qty: 1
"$100,000",Omen_Killer,Level: 13,Hospital,Qty: 3
"$100,000",ROGANKINGMAKER,Level: 7,Hospital,Qty: 4
"$100,000",soloman992,Level: 6,Hospital,Qty: 92
"$100,000",THE_INCREDIBLE,Level: 86,Abroad,Qty: 5
"$100,000",Nacholava,Level: 70,Abroad,Qty: 2
"$100,000",Slateprism,Level: 67,Abroad,Qty: 2
"$100,000",Unmyeong,Level: 64,Traveling,Qty: 1
"$100,000",Realest_G,Level: 58,Okay,Qty: 1
"$100,000",BarbadosSlim,Level: 57,Hospital,Qty: 2
"$100,000",Paypaygk,Level: 55,Okay,Qty: 1
"$100,000",dingus,Level: 50,Okay,Qty: 30
"$100,000",Xulu,Level: 35,Okay,Qty: 2
"$100,000",wildcat2,Level: 35,Okay,Qty: 10
"$100,000",AmazonPrimeRibs,Level: 25,Hospital,Qty: 7
"$100,000",xShanx,Level: 24,Abroad,Qty: 1
"$100,000",eyepatch916,Level: 23,Hospital,Qty: 9
"$100,000",MR-MAX,Level: 22,Hospital,Qty: 2
"$100,000",Azeyma,Level: 18,Traveling,Qty: 4
"$100,000",FItFullSend,Level: 15,Traveling,Qty: 2
"$100,000",SisG,Level: 15,Hospital,Qty: 3
"$100,000",jaggededge,Level: 15,Okay,Qty: 4
"$100,000",WannaEatMeat,Level: 12,Hospital,Qty: 3
"$100,000",Djlee,Level: 11,Hospital,Qty: 1
"$100,000",BigPimpinKen,Level: 100,Hospital,Qty: 9
"$100,000",Solana,Level: 100,Okay,Qty: 1
"$100,000",BoboTom,Level: 96,Okay,Qty: 1
"$100,000",Overhaul,Level: 92,Okay,Qty: 6
"$100,000",ARMENIA4EVER,Level: 87,Okay,Qty: 1
"$100,000",TacitWolf,Level: 63,Okay,Qty: 2
"$100,000",xannyxan,Level: 53,Hospital,Qty: 3
"$100,000",MagicBlue,Level: 49,Okay,Qty: 2
"$100,000",JosephNebo,Level: 47,Abroad,Qty: 2
"$100,000",OperativeOni,Level: 38,Hospital,Qty: 1
"$100,000",Frisbee18,Level: 37,Hospital,Qty: 1
"$100,000",Shirakami,Level: 35,Hospital,Qty: 1
"$100,000",Bishop_Of_Sloth,Level: 30,Hospital,Qty: 1
"$100,000",Larry1213,Level: 30,Traveling,Qty: 1
"$100,000",Fermino,Level: 26,Hospital,Qty: 1
"$100,000",Ice-TQK-,Level: 26,Traveling,Qty: 10
"$100,000",Rasmira,Level: 25,Abroad,Qty: 3
"$100,000",BigBoiLaCroix,Level: 24,Traveling,Qty: 1
"$100,000",blondieq,Level: 17,Hospital,Qty: 5
"$100,000",Lily_lilith,Level: 8,Hospital,Qty: 6
"$100,000",LeOtter,Level: 86,Okay,Qty: 5
"$100,000",Seelm,Level: 76,Okay,Qty: 9
"$100,000",Forever,Level: 72,Okay,Qty: 6
"$100,000",JadeDragonSS,Level: 69,Okay,Qty: 6
"$100,000",Bradtholomew,Level: 55,Hospital,Qty: 3
"$100,000",NLFearless,Level: 53,Okay,Qty: 9
"$100,000",PentestPete,Level: 52,Okay,Qty: 4
"$100,000",NthBestNOBUST,Level: 50,Hospital,Qty: 1
"$100,000",Teritech,Level: 50,Traveling,Qty: 1
"$100,000",HENRYTMANZI,Level: 48,Okay,Qty: 3
"$100,000",SuperHeroTo5,Level: 40,Traveling,Qty: 4
"$100,000",Matchu,Level: 38,Traveling,Qty: 3
"$100,000",Fajereek,Level: 37,Okay,Qty: 3
"$100,000",SammyRyloth,Level: 36,Hospital,Qty: 3
"$100,000",Fermino,Level: 26,Hospital,Qty: 1
"$100,000",JamesHades,Level: 15,Hospital,Qty: 1
"$100,000",Rrrrosko,Level: 9,Hospital,Qty: 1
"$100,000",Kiara20005,Level: 8,Hospital,Qty: 5
"$100,000",Jashan_21,Level: 6,Hospital,Qty: 1
"$100,000",neo5380,Level: 6,Hospital,Qty: 6
"$100,000",SleepIsForWeak,Level: 99,Okay,Qty: 3
"$100,000",iLoveSunnyDays,Level: 97,Abroad,Qty: 9
"$100,000",Barbie,Level: 95,Okay,Qty: 1
"$100,000",JircnivElnix,Level: 90,Okay,Qty: 4
"$100,000",AssassinsMace,Level: 89,Okay,Qty: 1
"$100,000",Lano23,Level: 85,Okay,Qty: 5
"$100,000",JxD,Level: 73,Okay,Qty: 2
"$100,000",-FIGJAM-,Level: 69,Okay,Qty: 1
"$100,000",PentestPete,Level: 52,Okay,Qty: 4
"$100,000",Sydneybeckers,Level: 46,Traveling,Qty: 10
"$100,000",Waytoofarian,Level: 38,Okay,Qty: 1
"$100,000",Killme566,Level: 36,Okay,Qty: 6
"$100,000",Mcnuggers,Level: 30,Hospital,Qty: 1
"$100,000",CowGod,Level: 27,Hospital,Qty: 8
"$100,000",kirabaz,Level: 26,Hospital,Qty: 5
"$100,000",FelinatiCool,Level: 21,Hospital,Qty: 1
"$100,000",Rosti,Level: 21,Okay,Qty: 14
"$100,000",Sasory,Level: 17,Traveling,Qty: 10
"$100,000",JaFlammable,Level: 15,Traveling,Qty: 48
"$100,000",Leopold_Stotch,Level: 5,Okay,Qty: 9
"$100,000",lynx22,Level: 99,Hospital,Qty: 28
"$100,000",Trinidad85,Level: 94,Okay,Qty: 4
"$100,000",BiscuitMan,Level: 84,Okay,Qty: 9
"$100,000",nick2077,Level: 72,Okay,Qty: 7
"$100,000",Zomi_Kahi,Level: 71,Okay,Qty: 19
"$100,000",shadowchild,Level: 70,Okay,Qty: 1
"$100,000",pointgodND,Level: 64,Okay,Qty: 5
"$100,000",LorDarius,Level: 60,Okay,Qty: 10
"$100,000",Pointless,Level: 56,Traveling,Qty: 12
"$100,000",QueenEscarlata,Level: 54,Okay,Qty: 2
"$100,000",AntonioMontana_,Level: 46,Hospital,Qty: 50
"$100,000",blaze4dayzyt,Level: 28,Hospital,Qty: 105
"$100,000",FINAL-YEAR,Level: 26,Hospital,Qty: 31
"$100,000",willyred,Level: 24,Hospital,Qty: 7
"$100,000",Vendroiken,Level: 22,Okay,Qty: 2
"$100,000",BidenBro,Level: 19,Traveling,Qty: 6
"$100,000",Favre297,Level: 19,Traveling,Qty: 8
"$100,000",uzhti,Level: 17,Hospital,Qty: 48
"$100,000",DeathLakay,Level: 16,Hospital,Qty: 52
"$100,000",Broxogar,Level: 15,Okay,Qty: 5
"$100,000",Aardvark,Level: 100,Okay,Qty: 19
"$100,000",Bitbug,Level: 100,Okay,Qty: 2
"$100,000",Brad,Level: 100,Okay,Qty: 19
"$100,000",Cha_Ching,Level: 100,Traveling,Qty: 10
"$100,000",Monkeytts,Level: 100,Hospital,Qty: 17
"$100,000",Palestine,Level: 100,Okay,Qty: 9
"$100,000",Rocker,Level: 100,Okay,Qty: 2
"$100,000",drvansteiner,Level: 100,Abroad,Qty: 3
"$100,000",-FLOKY-,Level: 99,Okay,Qty: 3
"$100,000",SirJux,Level: 99,Okay,Qty: 1
"$100,000",lynx22,Level: 99,Hospital,Qty: 28
"$100,000",AndyM,Level: 84,Okay,Qty: 9
"$100,000",PowerPlant,Level: 81,Okay,Qty: 7
"$100,000",BULLY,Level: 60,Okay,Qty: 11
"$100,000",Olliemiller,Level: 34,Hospital,Qty: 6
"$100,000",Toosi,Level: 25,Hospital,Qty: 29
"$100,000",Adam1cKai,Level: 24,Hospital,Qty: 10
"$100,000",underbutler,Level: 22,Okay,Qty: 2
"$100,000",CheeseGrits,Level: 15,Okay,Qty: 2
"$100,000",FreePalestine1,Level: 15,Hospital,Qty: 14
"$100,000",Disdain,Level: 100,Okay,Qty: 2
"$100,000",Khal,Level: 100,Okay,Qty: 4
"$100,000",Spalds,Level: 100,Okay,Qty: 10
"$100,000",SpeedSkateR,Level: 100,Okay,Qty: 2
"$100,000",fadjerols,Level: 100,Hospital,Qty: 13
"$100,000",peterors,Level: 100,Okay,Qty: 11
"$100,000",Fierydragoon,Level: 94,Okay,Qty: 1
"$100,000",Bluemojo,Level: 92,Okay,Qty: 2
"$100,000",JohnnyGreed,Level: 88,Traveling,Qty: 10
"$100,000",ekchatzi,Level: 88,Okay,Qty: 9
"$100,000",Nuubier,Level: 81,Okay,Qty: 1
"$99,000",prai,Level: 28,Traveling,Qty: 2
"$96,000",Tilted,Level: 6,Hospital,Qty: 3
"$90,000",just_the_tip,Level: 65,Okay,Qty: 10
"$89,000",JohnnySins,Level: 53,Traveling,Qty: 1
"$87,000",Geniusgmer,Level: 42,Okay,Qty: 1
"$80,000",bandion,Level: 45,Okay,Qty: 1
"$80,000",RT0,Level: 34,Hospital,Qty: 1
"$80,000",Buddha_ghost,Level: 23,Okay,Qty: 4
"$80,000",M0MMYM0DER,Level: 23,Hospital,Qty: 6
"$80,000",RetroClick,Level: 100,Okay,Qty: 10
"$80,000",Steezy,Level: 29,Okay,Qty: 6
"$80,000",chochonut,Level: 16,Hospital,Qty: 12
"$75,000",420drug_addict,Level: 100,Okay,Qty: 1
"$75,000",xiansakana,Level: 100,Hospital,Qty: 10
"$75,000",Synner,Level: 87,Okay,Qty: 6
"$75,000",KCASH,Level: 60,Hospital,Qty: 2
"$75,000",Tecumseh-Wen,Level: 46,Abroad,Qty: 1
"$75,000",JerrySin,Level: 40,Hospital,Qty: 9
"$75,000",iRoyales,Level: 25,Okay,Qty: 6
"$75,000",Longshot99,Level: 17,Abroad,Qty: 1
"$75,000",C0D3IN3CR4ZY,Level: 16,Hospital,Qty: 26
"$75,000",xx_Ducky_xx,Level: 12,Hospital,Qty: 10
"$75,000",MaziVX,Level: 10,Hospital,Qty: 9
"$70,000",MisterTwisted,Level: 69,Okay,Qty: 9
"$70,000",Northern_Lights,Level: 25,Abroad,Qty: 1
"$70,000",aungthaw4am,Level: 19,Hospital,Qty: 1
"$69,420",JAIPADBRA,Level: 65,Okay,Qty: 12
"$69,420",LazyOrphan,Level: 23,Okay,Qty: 8
"$69,420",Jessica791,Level: 19,Okay,Qty: 6
"$69,420",fly_guy,Level: 85,Okay,Qty: 1
"$69,420",Azriel,Level: 80,Okay,Qty: 3
"$69,420",GordonStull,Level: 11,Hospital,Qty: 11
"$69,000",Frogfoots,Level: 14,Hospital,Qty: 2
"$65,000",Aj42069,Level: 54,Okay,Qty: 5
"$60,000",WolfofWall,Level: 53,Traveling,Qty: 2
"$60,000",DarkSentry,Level: 45,Okay,Qty: 5
"$60,000",JediQueen,Level: 26,Hospital,Qty: 1
"$60,000",Tizbo,Level: 22,Hospital,Qty: 1
"$60,000",luckyluke2722,Level: 18,Okay,Qty: 1
"$60,000",Zurvan,Level: 16,Okay,Qty: 2
"$60,000",lokiSavage,Level: 16,Hospital,Qty: 9
"$60,000",DeputyFriendly,Level: 13,Hospital,Qty: 4
"$60,000",theDemonFox,Level: 11,Hospital,Qty: 15
"$51,234",JeffreyEpstein-,Level: 5,Hospital,Qty: 6
"$51,000",disturbed-chick,Level: 31,Okay,Qty: 1
"$50,001",King2stan,Level: 55,Abroad,Qty: 32
"$50,001",--G--,Level: 15,Okay,Qty: 7
"$50,001",DEIMOS__,Level: 15,Okay,Qty: 7
"$50,000",MCmoekhat,Level: 16,Okay,Qty: 1
"$50,000",pussy,Level: 95,Okay,Qty: 18
"$50,000",Brad_77,Level: 58,Hospital,Qty: 5
"$50,000",GoodyBags,Level: 58,Okay,Qty: 1
"$50,000",Knightstar,Level: 53,Okay,Qty: 10
"$50,000",Gambitxr,Level: 29,Okay,Qty: 2
"$50,000",antlermask,Level: 24,Okay,Qty: 1
"$50,000",dave1985,Level: 21,Okay,Qty: 1
"$50,000",wirewood,Level: 21,Okay,Qty: 1
"$50,000",TixijQuiet,Level: 20,Abroad,Qty: 1
"$50,000",Leah65,Level: 19,Traveling,Qty: 11
"$50,000",Iriquois_Pliski,Level: 16,Okay,Qty: 10
"$50,000",KingEJ,Level: 15,Okay,Qty: 5
"$50,000",NITS101,Level: 15,Hospital,Qty: 1
"$50,000",Bunnyx323,Level: 14,Okay,Qty: 9
"$50,000",Kaytee98,Level: 13,Hospital,Qty: 4
"$50,000",06Valentinooo,Level: 11,Hospital,Qty: 2
"$50,000",lEnisl,Level: 11,Hospital,Qty: 2
"$50,000",hectorje3,Level: 10,Hospital,Qty: 3
"$50,000",100shades,Level: 9,Hospital,Qty: 1
"$50,000",AJNev,Level: 4,Hospital,Qty: 1
"$50,000",PlonkerAce,Level: 100,Hospital,Qty: 1
